Category,Tool,Slug,Website,Requested Pricing Source,Final Pricing Source,Source Status,Source Scope Status,Locale Pricing Status,Fetch Status,Fetch Method,Current Free Plan,Verified Free Plan,Free Plan Status,Free Plan Safe,Current Starting Price,Verified Starting Price,Starting Price Status,Starting Price Safe,Verified Annual Billing,Annual Billing Status,Annual Billing Safe,Verified Monthly Billing,Monthly Billing Status,Monthly Billing Safe,Current Team Plan,Verified Team Plan,Team Plan Status,Team Plan Safe,Current Enterprise Plan,Verified Enterprise Plan,Enterprise Plan Status,Enterprise Plan Safe,Current Pricing Verified,Checked At,Overall Status,Tool Safe to Auto Apply,Evidence / Notes
AI & Automation; Productivity; AI Writing; Research; Coding,ChatGPT,chatgpt,https://chatgpt.com,https://chatgpt.com/pricing,https://chatgpt.com/pricing/,LOCKED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Contact sales,CHANGE,YES,Unknown,2026-08-11T19:36:17.507Z,PARTIAL,YES,"Locked official pricing source. Free Plan: The page states, ""The free version of ChatGPT is available to everyone,"" and lists a ""Free"" plan. Starting Price: The page identifies Go as the individual paid entry plan with ""Expanded access / month,"" but no price amount is supplied. Annual Billing: The page states that annual plans are offered for Business and Enterprise, but does not state an annual-billing price for the standard entry paid plan. Monthly Billing: The page states that paid plans are priced per user per month and that monthly plans are offered for Go, Plus, and Business, but no monthly price amount is supplied. Team Plan: The page names a Business plan but does not explicitly name or price a Team plan. Enterprise Plan: The FAQ states, ""Please contact sales to learn more about our Enterprise plan."""
AI & Automation; AI Writing; Marketing & SEO; Content Marketing,Jasper AI,jasper-ai,https://www.jasper.ai,https://www.jasper.ai/pricing,https://www.jasper.ai/pricing,LOCKED,GENERIC,GENERIC,OK,HTTP,No,Not explicitly verified,REVIEW,NO,From $59/month per seat (annual billing) or $69/month per seat (monthly billing),"$59/month per seat, billed yearly; $69/month per seat, billed monthly",CHANGE,YES,"$59/month per seat, billed yearly",CHANGE,YES,"$69/month per seat, billed monthly",CHANGE,YES,Available,Not explicitly verified,REVIEW,NO,Custom Pricing,Not explicitly verified,REVIEW,NO,June 2026,2026-08-11T19:36:14.378Z,PARTIAL,YES,"Locked official pricing source. Starting Price: The pricing section lists Pro at ""$59 month/ seat"" under yearly billing and ""$69 month/ seat"" under monthly billing; the FAQ states: ""Pro: $59/month billed yearly or $69/month billed monthly."" Annual Billing: The FAQ states: ""Pro: $59/month billed yearly."" Monthly Billing: The FAQ states: ""Pro: $59/month billed ... monthly."""
AI & Automation; AI Writing; Productivity; Content Creation,JustDone,justdone,https://justdone.ai,https://justdone.com/pricing,https://justdone.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,PLAYWRIGHT,No,Not explicitly verified,REVIEW,NO,Paid plans available,$19.99 per month for the Unlimited Monthly Plan; $9.99 per month for the Unlimited Annual Plan; the monthly plan also states 7-day access for $2.00 then $39.99 per month,CHANGE,YES,$9.99 per month — Unlimited Annual Plan,CHANGE,YES,$19.99 per month — Unlimited Monthly Plan; 7-day access for $2.00 then $39.99 per month,CHANGE,YES,No,Not explicitly verified,REVIEW,NO,Contact Sales,Not explicitly verified,REVIEW,NO,Unknown,2026-08-11T19:36:42.796Z,PARTIAL,YES,Discovered same-domain official pricing source. Free Plan: The page lists a 7-day introductory access period but does not explicitly offer an ongoing Free plan. Starting Price: The page explicitly lists Unlimited Monthly Plan at $19.99 per month and Unlimited Annual Plan at $9.99 per month. Annual Billing: The page labels the plan “Unlimited Annual Plan” and shows $9.99 per month. Monthly Billing: The page labels the plan “Unlimited Monthly Plan” and shows $19.99 per month; it also states 7-day access at $2.00 then $39.99 per month.
AI & Automation; AI Writing; Marketing & SEO; SEO Content,Writesonic,writesonic,https://writesonic.com,https://writesonic.com/pricing,https://writesonic.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Yes,Not explicitly verified,REVIEW,NO,From $16/month,"$79 per month, billed annually",CHANGE,YES,"$79 per month, billed annually",CHANGE,YES,Not explicitly verified,REVIEW,NO,Available,Not explicitly verified,REVIEW,NO,Custom Pricing,Custom,MATCH,NO,June 2026,2026-08-11T19:36:21.683Z,PARTIAL,YES,"Discovered same-domain official pricing source. Free Plan: The page says ""Start free"" and ""Start free trial,"" but does not explicitly offer an ongoing Free plan. Starting Price: The standard paid entry plan is ""Starter $79 ... per month, billed annually."" Annual Billing: The Starter plan is explicitly listed as ""$79 ... per month, billed annually."" Team Plan: ""Team"" appears as a workspace feature within plans, not as a separately named Team plan. Enterprise Plan: The page lists an ""Enterprise"" plan with pricing shown as ""Custom."""
AI & Automation; AI Writing; Productivity; Copywriting,Rytr,rytr,https://rytr.me,https://rytr.me/pricing,https://rytr.me/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Yes,Yes,MATCH,NO,From $9/month,$7.50/m,CHANGE,YES,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Available,Not explicitly verified,REVIEW,NO,No,Not explicitly verified,REVIEW,NO,June 2026,2026-08-11T19:36:28.335Z,PARTIAL,YES,"Discovered same-domain official pricing source. Free Plan: The page explicitly lists “Free forever, no CC required. $0/m”. Starting Price: The page lists the paid entry plan “Unlimited” at “$7.50/m”. Annual Billing: Complex product pricing requires review: The page mentions yearly billing and a 20% annual-plan saving, but does not explicitly provide an annual price for the standard paid entry plan. Monthly Billing: Complex product pricing requires review: The page mentions a monthly subscription, but does not explicitly associate a monthly price with the standard paid entry plan."
AI & Automation; AI Writing; Marketing & SEO; Copywriting,Anyword,anyword,https://anyword.com,https://anyword.com/pricing,https://www.anyword.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,No,Not explicitly verified,REVIEW,NO,From $49/month,$49/month (monthly billing) or $39/month (billed yearly),CHANGE,YES,$39/month (Billed yearly),CHANGE,YES,$49/month,CHANGE,YES,Available,Not explicitly verified,REVIEW,NO,Custom Pricing,Custom pricing,MATCH,NO,Unknown,2026-08-11T19:36:43.550Z,PARTIAL,YES,"Discovered same-domain official pricing source. Free Plan: The page offers a “7-day free trial,” but does not explicitly offer an ongoing Free plan. Starting Price: The Starter plan is the entry plan for solo marketers and freelancers, priced at “$49 /month” or “$39 /month (Billed yearly).” Annual Billing: Starter: “$39 /month (Billed yearly).” Monthly Billing: Starter: “$49 /month.” Enterprise Plan: The Enterprise plan is listed with “Custom pricing.”"
AI & Automation; AI Writing; Marketing & SEO; SEO Content,Frase,frase,https://www.frase.io,https://www.frase.io/pricing,https://www.frase.io/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,No,Yes,CHANGE,YES,From $45/month,$39 /mo billed yearly; $49/mo month to month,CHANGE,YES,$39 /mo billed yearly,CHANGE,YES,$49/mo month to month,CHANGE,YES,Available,Not explicitly verified,REVIEW,NO,Contact Sales,Custom pricing; talk to sales,MATCH,NO,June 2026,2026-08-11T19:36:43.615Z,PARTIAL,YES,"Discovered same-domain official pricing source. Free Plan: FraseCMS lists an ongoing “Free” tier at $0 with 100,000 page views a month. Starting Price: Starter is listed at $39 /mo billed yearly and $49/mo month to month. Annual Billing: Starter: “$39 /mo billed yearly.” Monthly Billing: Starter: “$49/mo month to month.” Enterprise Plan: Enterprise: “Custom scoped to your org” and “Talk to sales.”"
AI & Automation; AI Writing; Marketing & SEO; SEO Content,NeuronWriter,neuronwriter,https://neuronwriter.com,https://neuronwriter.com/pricing-neuron/,https://neuronwriter.com/pricing-neuron/,DISCOVERED,UNKNOWN,UNKNOWN,ERROR,PLAYWRIGHT,No,Not explicitly verified,ERROR,NO,From $23/month,Not explicitly verified,ERROR,NO,Not explicitly verified,ERROR,NO,Not explicitly verified,ERROR,NO,Available,Not explicitly verified,ERROR,NO,No,Not explicitly verified,ERROR,NO,June 2026,2026-08-11T19:38:00.968Z,ERROR,NO,"Discovered same-domain official pricing source. fetch failed Playwright fallback failed: page.goto: Timeout 45000ms exceeded.
Call log:
[2m  - navigating to ""https://neuronwriter.com/pricing-neuron/"", waiting until ""domcontentloaded""[22m
 Free Plan: fetch failed Playwright fallback failed: page.goto: Timeout 45000ms exceeded.
Call log:
[2m  - navigating to ""https://neuronwriter.com/pricing-neuron/"", waiting until ""domcontentloaded""[22m
 Starting Price: fetch failed Playwright fallback failed: page.goto: Timeout 45000ms exceeded.
Call log:
[2m  - navigating to ""https://neuronwriter.com/pricing-neuron/"", waiting until ""domcontentloaded""[22m
 Annual Billing: fetch failed Playwright fallback failed: page.goto: Timeout 45000ms exceeded.
Call log:
[2m  - navigating to ""https://neuronwriter.com/pricing-neuron/"", waiting until ""domcontentloaded""[22m
 Monthly Billing: fetch failed Playwright fallback failed: page.goto: Timeout 45000ms exceeded.
Call log:
[2m  - navigating to ""https://neuronwriter.com/pricing-neuron/"", waiting until ""domcontentloaded""[22m
 Team Plan: fetch failed Playwright fallback failed: page.goto: Timeout 45000ms exceeded.
Call log:
[2m  - navigating to ""https://neuronwriter.com/pricing-neuron/"", waiting until ""domcontentloaded""[22m
 Enterprise Plan: fetch failed Playwright fallback failed: page.goto: Timeout 45000ms exceeded.
Call log:
[2m  - navigating to ""https://neuronwriter.com/pricing-neuron/"", waiting until ""domcontentloaded""[22m
"
AI & Automation; AI Writing; Marketing & SEO; SEO Content,INK FOR ALL,ink-for-all,https://inkforall.com,https://smythos.com/pricing/,https://smythos.com/pricing/,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Yes,Yes,MATCH,NO,From $39/month,$39 per seat/month,CHANGE,YES,Not explicitly verified,REVIEW,NO,$39 per seat/month for Builder,CHANGE,YES,Available,Not explicitly verified,REVIEW,NO,Custom Pricing,"starting from $4,955 per month",CHANGE,YES,Unknown,2026-08-11T19:36:58.157Z,PARTIAL,YES,"Discovered same-domain official pricing source. Free Plan: The page lists “Public Totally Free $0” and says “Start Free Now.” Starting Price: The Builder plan is labeled “Most popular $39 per seat/month.” Monthly Billing: The Builder plan explicitly states “$39 per seat/month.” Enterprise Plan: The Enterprise plan is listed as “starting from $4,955 per month.”"
AI & Automation; AI Writing; Marketing & SEO; SEO Content,Scalenut,scalenut,https://www.scalenut.com,https://www.scalenut.com/pricing,https://www.scalenut.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,No,Not explicitly verified,REVIEW,NO,From $49/month,Starter: $59/mo on monthly billing; $24/mo with annual billing (60% off),CHANGE,YES,Starter: $24/mo with annual billing (60% off),CHANGE,YES,Starter: $59/mo,CHANGE,YES,Available,Not explicitly verified,REVIEW,NO,Custom Pricing,Custom pricing / contact us for a custom plan,MATCH,NO,June 2026,2026-08-11T19:37:01.591Z,PARTIAL,YES,"Discovered same-domain official pricing source. Free Plan: The page says ""Try 7 days For free"" and separately describes a ""free trial,"" but does not explicitly offer an ongoing Free plan. Starting Price: The standard paid entry plan is Starter, shown as ""$59/mo"" and as ""$24 /mo"" with ""60% OFF"" under the Monthly/Annual pricing selector. Annual Billing: The page explicitly states: ""Annual billing is available and comes with a discount compared to monthly plans,"" and shows Starter at ""$24 /mo"" with ""60% OFF."" Monthly Billing: Starter is explicitly shown at ""$59/mo"" in the monthly pricing section. Enterprise Plan: The FAQ explicitly asks ""Do you offer custom or enterprise plans?"" and answers: ""Yes... you can contact us for a custom plan."""
