Category,Tool,Slug,Website,Requested Pricing Source,Final Pricing Source,Source Status,Source Scope Status,Locale Pricing Status,Fetch Status,Fetch Method,Current Free Plan,Verified Free Plan,Free Plan Status,Free Plan Safe,Current Starting Price,Verified Starting Price,Starting Price Status,Starting Price Safe,Verified Annual Billing,Annual Billing Status,Annual Billing Safe,Verified Monthly Billing,Monthly Billing Status,Monthly Billing Safe,Current Team / Business Plan,Verified Team / Business Plan,Team / Business Plan Status,Team / Business Plan Safe,Current Enterprise Plan,Verified Enterprise Plan,Enterprise Plan Status,Enterprise Plan Safe,Current Pricing Verified,Checked At,Overall Status,Tool Safe to Auto Apply,Evidence / Notes
AI & Automation; Productivity; AI Writing; Research; Coding,ChatGPT,chatgpt,https://chatgpt.com,https://chatgpt.com/pricing,https://chatgpt.com/pricing,LOCKED,UNKNOWN,REGION_SPECIFIC,ERROR,PLAYWRIGHT,Unknown,Yes,REVIEW,NO,Unknown,$8 USD/month in the US; Go pricing is localized in some markets,REVIEW,NO,Not explicitly verified,REVIEW,NO,$8 per month in the US,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Enterprise,REVIEW,NO,Unknown,2026-08-23T08:20:33.049Z,REVIEW,NO,"Locked official pricing source. Playwright rendered page returned too little readable pricing content. Locale: Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Free Plan: Playwright rendered page returned too little readable pricing content. Primary pricing source: https://chatgpt.com/pricing. Primary pricing source failed before usable pricing could be extracted. Official secondary source: https://openai.com/index/introducing-chatgpt-go/. Free Plan verified from official secondary source. The page explicitly refers to an ongoing ""free tier"" and says ChatGPT is available at free and affordable price points. Locale-specific pricing requires review: Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Starting Price: Playwright rendered page returned too little readable pricing content. Primary pricing source: https://chatgpt.com/pricing. Primary pricing source failed before usable pricing could be extracted. Official secondary source: https://openai.com/index/introducing-chatgpt-go/. Starting Price verified from official secondary source. The page states: ""In the US, Go is available for $8 per month"" and identifies Go as the lower-price subscription tier. Locale-specific pricing requires review: Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Annual Billing: Playwright rendered page returned too little readable pricing content. Monthly Billing: Playwright rendered page returned too little readable pricing content. Primary pricing source: https://chatgpt.com/pricing. Primary pricing source failed before usable pricing could be extracted. Official secondary source: https://openai.com/index/introducing-chatgpt-go/. Monthly Billing verified from official secondary source. The page states: ""ChatGPT Go at $8 USD/month*"" and ""In the US, Go is available for $8 per month."" Locale-specific pricing requires review: Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Team / Business Plan: Playwright rendered page returned too little readable pricing content. Enterprise Plan: Playwright rendered page returned too little readable pricing content. Primary pricing source: https://chatgpt.com/pricing. Primary pricing source failed before usable pricing could be extracted. Official secondary source: https://openai.com/index/introducing-chatgpt-go/. Enterprise Plan verified from official secondary source. The page explicitly names Enterprise alongside other ChatGPT tiers: ""ChatGPT Plus, Pro, Business and Enterprise will remain ad-free."" Locale-specific pricing requires review: Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."" Official secondary source https://openai.com/index/introducing-chatgpt-go/ indicated locale-specific pricing: The page states: ""$8 USD/month*"" with ""*US price displayed. Go pricing is localized in some markets."""
AI & Automation; AI Writing; Marketing & SEO; Content Marketing,Jasper AI,jasper-ai,https://www.jasper.ai,https://www.jasper.ai/pricing,https://www.jasper.ai/pricing,LOCKED,GENERIC,GENERIC,OK,HTTP,No,Not explicitly verified,REVIEW,NO,From $59/month per seat (annual billing) or $69/month per seat (monthly billing),"$59/month billed yearly or $69/month billed monthly, per seat",CHANGE,YES,$59/month billed yearly,CHANGE,YES,$69/month billed monthly,CHANGE,YES,Available,Business — custom pricing,CHANGE,YES,Custom Pricing,Not explicitly verified,REVIEW,NO,June 2026,2026-08-23T08:19:59.382Z,PARTIAL,NO,"Locked official pricing source. Free Plan: The page offers a 7-day free trial of the Pro plan, but does not explicitly offer an ongoing Free plan. Starting Price: Pro is the paid entry plan and is listed at $59/month billed yearly or $69/month billed monthly, per seat. Annual Billing: FAQ: Pro: $59/month billed yearly. Monthly Billing: FAQ: Pro: $69/month billed monthly. Team / Business Plan: Business is described as custom pricing for a company and as a plan for adding teammates into a workspace."
AI & Automation; AI Writing; Productivity; Content Creation,JustDone,justdone,https://justdone.ai,https://justdone.com/pricing,https://justdone.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,PLAYWRIGHT,No,Not explicitly verified,REVIEW,NO,Paid plans available,"Unlimited Monthly Plan: $19.99 per month, with 7-day access for $2.00 then $29.99 per month; Unlimited Annual Plan: $9.99 per month",CHANGE,YES,$9.99 per month for the Unlimited Annual Plan,CHANGE,YES,"$19.99 per month for the Unlimited Monthly Plan; alternatively, 7-day access for $2.00 then $29.99 per month",CHANGE,YES,No,Not explicitly verified,REVIEW,NO,Contact Sales,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:20:20.775Z,PARTIAL,NO,"Discovered same-domain official pricing source. Starting Price: The page lists Unlimited Monthly Plan and Unlimited Annual Plan with explicit prices and billing periods. Annual Billing: Unlimited Annual Plan is listed at $9.99 per month. Monthly Billing: Unlimited Monthly Plan is listed at $19.99 per month, with an introductory offer of $2.00 then $29.99 per month."
AI & Automation; AI Writing; Marketing & SEO; SEO Content,Writesonic,writesonic,https://writesonic.com,https://writesonic.com/pricing,https://writesonic.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Yes,Not explicitly verified,REVIEW,NO,From $16/month,"$79 per month, billed annually (Save $240/year)",CHANGE,YES,"$79 per month, billed annually (Save $240/year)",CHANGE,YES,Not explicitly verified,REVIEW,NO,Available,Not explicitly verified,REVIEW,NO,Custom Pricing,Custom,MATCH,NO,June 2026,2026-08-23T08:20:10.086Z,PARTIAL,NO,"Discovered same-domain official pricing source. Starting Price: Starter $79 per month, billed annually; it is the first listed paid plan. Annual Billing: Starter: ""$79 ... per month, billed annually"" and ""Save $240/year."" Enterprise Plan: Enterprise is explicitly listed with price ""Custom"" and a tailored-to-your-scale offering."
AI & Automation; AI Writing; Productivity; Copywriting,Rytr,rytr,https://rytr.me,https://rytr.me/pricing,https://rytr.me/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Yes,Yes,MATCH,NO,From $9/month,$7.50/m,CHANGE,YES,Not explicitly verified,REVIEW,NO,$7.50/m,CHANGE,YES,Available,Not explicitly verified,REVIEW,NO,No,Not explicitly verified,REVIEW,NO,June 2026,2026-08-23T08:20:16.873Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: Free forever, no CC required. $0/m Starting Price: Unlimited ... $7.50/m Monthly Billing: Unlimited ... $7.50/m"
AI & Automation; AI Writing; Marketing & SEO; Copywriting,Anyword,anyword,https://anyword.com,https://www.anyword.com/pricing,https://www.anyword.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,No,Not explicitly verified,REVIEW,NO,From $49/month,$49/month monthly or $39/month billed yearly,CHANGE,YES,$39/month (Billed yearly),CHANGE,YES,$49/month,CHANGE,YES,Available,Custom pricing,CHANGE,YES,Custom Pricing,Custom pricing,MATCH,NO,Unknown,2026-08-23T08:20:23.775Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The page explicitly offers a 7-day free trial, but does not explicitly offer an ongoing Free plan. Starting Price: Starter is the clearly identified entry plan for solo marketers and freelancers, priced at $49/month or $39/month billed yearly. Annual Billing: Starter is listed at $39/month (Billed yearly). Monthly Billing: Starter is listed at $49/month. Team / Business Plan: Business is explicitly for marketing teams, includes 3 seats, and is distinct from the separately named Enterprise plan; its price is custom. Enterprise Plan: Enterprise is explicitly named and listed with Custom pricing for teams needing custom-built AI and enterprise-grade security, privacy, and control."
AI & Automation; AI Writing; Marketing & SEO; SEO Content,Frase,frase,https://www.frase.io,https://www.frase.io/pricing,https://www.frase.io/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,No,Yes,CHANGE,YES,From $45/month,$39/mo billed yearly; $49/mo month to month,CHANGE,YES,$39/mo billed yearly,CHANGE,YES,$49/mo month to month,CHANGE,YES,Available,Professional — $103/mo billed yearly; $129/mo month to month,CHANGE,YES,Contact Sales,Custom pricing; talk to sales,MATCH,NO,June 2026,2026-08-23T08:20:33.678Z,VERIFIED,YES,"Discovered same-domain official pricing source. Free Plan: FraseCMS explicitly lists a continuing “Free” tier at $0, with 100,000 page views per month. Starting Price: Starter is the lowest standard paid Frase plan at $39/mo billed yearly or $49/mo month to month. Annual Billing: Starter: $39 /mo billed yearly. Monthly Billing: Starter: $49/mo month to month. Team / Business Plan: Professional is explicitly described as built for a content team and best for in-house teams and growing SMBs. Enterprise Plan: Enterprise is explicitly named and states “Custom scoped to your org” and “Talk to sales.”"
AI & Automation; AI Writing; Marketing & SEO; SEO Content,NeuronWriter,neuronwriter,https://neuronwriter.com,https://neuronwriter.com/pricing-neuron/,https://neuronwriter.com/pricing-neuron/,DISCOVERED,GENERIC,GENERIC,OK,HTTP,No,Not explicitly verified,REVIEW,NO,From $23/month,$23 /mo monthly or $19 *12 / Yearly for the Bronze plan,CHANGE,YES,$19 *12 / Yearly for the Bronze plan,CHANGE,YES,$23 /mo for the Bronze plan,CHANGE,YES,Available,Gold plan: $69 /mo or $57 *12 / Yearly,CHANGE,YES,No,Not explicitly verified,REVIEW,NO,June 2026,2026-08-23T08:20:36.638Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The page states there is a free trial for 7 days under Gold plan terms, but does not explicitly offer an ongoing free plan. Starting Price: The Bronze plan is the lowest-priced standard paid plan shown: $23 /mo or $19 *12 / Yearly. Annual Billing: Bronze plan pricing is explicitly shown as $19 *12 / Yearly. Monthly Billing: Bronze plan pricing is explicitly shown as $23 /mo. Team / Business Plan: The Gold plan is explicitly described as being for a team of copywriters or a small agency and includes content sharing with unlimited team members."
AI & Automation; AI Writing; Marketing & SEO; SEO Content,INK FOR ALL,ink-for-all,https://inkforall.com,,,SOURCE_MISSING,UNKNOWN,UNKNOWN,ERROR,NONE,Yes,Not explicitly verified,ERROR,NO,From $39/month,Not explicitly verified,ERROR,NO,Not explicitly verified,ERROR,NO,Not explicitly verified,ERROR,NO,Available,Not explicitly verified,ERROR,NO,Custom Pricing,Not explicitly verified,ERROR,NO,Unknown,2026-08-23T08:20:37.855Z,SOURCE_MISSING,NO,No valid pricing source with verified product identity was safely discovered. Rejected 5 candidate(s); first rejected source: https://smythos.com/pricing/. Pricing source identity could not be verified for INK FOR ALL. No valid pricing source with verified product identity was safely discovered. Rejected 5 candidate(s); first rejected source: https://smythos.com/pricing/. Pricing source identity could not be verified for INK FOR ALL. Free Plan: No valid pricing source with verified product identity was safely discovered. Rejected 5 candidate(s); first rejected source: https://smythos.com/pricing/. Pricing source identity could not be verified for INK FOR ALL. Starting Price: No valid pricing source with verified product identity was safely discovered. Rejected 5 candidate(s); first rejected source: https://smythos.com/pricing/. Pricing source identity could not be verified for INK FOR ALL. Annual Billing: No valid pricing source with verified product identity was safely discovered. Rejected 5 candidate(s); first rejected source: https://smythos.com/pricing/. Pricing source identity could not be verified for INK FOR ALL. Monthly Billing: No valid pricing source with verified product identity was safely discovered. Rejected 5 candidate(s); first rejected source: https://smythos.com/pricing/. Pricing source identity could not be verified for INK FOR ALL. Team / Business Plan: No valid pricing source with verified product identity was safely discovered. Rejected 5 candidate(s); first rejected source: https://smythos.com/pricing/. Pricing source identity could not be verified for INK FOR ALL. Enterprise Plan: No valid pricing source with verified product identity was safely discovered. Rejected 5 candidate(s); first rejected source: https://smythos.com/pricing/. Pricing source identity could not be verified for INK FOR ALL.
AI & Automation; AI Writing; Marketing & SEO; SEO Content,Scalenut,scalenut,https://www.scalenut.com,https://www.scalenut.com/pricing,https://www.scalenut.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,No,Not explicitly verified,REVIEW,NO,From $49/month,$24/mo with annual billing; $59/mo with monthly billing,CHANGE,YES,$24/mo for Starter,CHANGE,YES,$59/mo for Starter,CHANGE,YES,Available,Plus: $36/mo with annual billing; $89/mo with monthly billing,CHANGE,YES,Custom Pricing,Not explicitly verified,REVIEW,NO,June 2026,2026-08-23T08:20:49.340Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The page offers a 7-day free trial and says users can start with a free trial, but does not list an ongoing Free plan. Starting Price: Starter is the first standard paid plan shown, with $24/mo under Annual and $59/mo in the monthly pricing section. Annual Billing: The page includes an Annual pricing option and lists Starter at $24/mo; the FAQ states annual billing is available. Monthly Billing: The page includes a Monthly pricing option and lists Starter at $59/mo. Team / Business Plan: Plus is explicitly for growing teams and includes up to 4 team members; Professional separately targets advanced teams and has unlimited team members. Enterprise Plan: The FAQ mentions custom or enterprise plans, but no explicitly named Enterprise pricing plan is listed."
